Wall time,Step,Value
1688950840.5608745,0,0.0
1688952646.7263477,10000,167.06997680664062
1688954488.7426724,20000,235.0529327392578
1688956392.3779724,30000,236.23365783691406
1688958262.8366568,40000,253.37985229492188
1688960188.3733897,50000,269.2721862792969
1688962081.1691694,60000,291.3153381347656
1688963947.594898,70000,291.3364562988281
1688965952.5989215,80000,256.41619873046875
1688967884.5797417,90000,258.1881103515625
1688969775.9588158,100000,268.7933044433594
1688971635.8560934,110000,279.58489990234375
1688973550.3717458,120000,260.8303527832031
1688975490.2842588,130000,305.9243469238281
1688977264.2876341,140000,219.75523376464844
1688979220.1787767,150000,283.4786376953125
1688981112.4610908,160000,273.3016357421875
1688982995.3310006,170000,283.8187561035156
1688984844.3613772,180000,302.5412292480469
1688986715.662481,190000,282.03082275390625
1688988621.8785012,200000,243.4114227294922
1688990443.258095,210000,235.67384338378906
1688992358.4490075,220000,225.4204864501953
1688994363.6682754,230000,290.66455078125
1688996346.0701606,240000,258.2720031738281
1688998369.2775097,250000,254.8939208984375
1689000318.0213223,260000,199.96505737304688
1689002187.5569642,270000,9.364118576049805
1689004106.111299,280000,9.435115814208984
1689006164.4696746,290000,10.605655670166016
1689008184.682014,300000,11.280125617980957
1689010063.7666025,310000,15.170758247375488
1689012048.4630058,320000,17.960372924804688
1689014023.2992682,330000,13.738697052001953
1689016052.553501,340000,13.129293441772461
1689018092.179168,350000,14.861077308654785
1689020063.5744438,360000,13.38888931274414
1689022116.396133,370000,11.613953590393066
1689024145.2519515,380000,14.683333396911621
1689026137.7434373,390000,5.556295871734619
1689028181.125701,400000,17.971649169921875
1689030256.9310305,410000,9.594100952148438
1689032346.8631804,420000,9.174813270568848
1689034424.9466405,430000,13.536874771118164
1689036438.246448,440000,4.333904266357422
1689038595.0760334,450000,13.959439277648926
1689040715.9486532,460000,9.874094009399414
1689042802.6110048,470000,16.0625
1689044922.238277,480000,5.518518447875977
1689046929.7234948,490000,14.987257957458496
1689049096.726168,500000,13.15247917175293
1689051111.3674583,510000,12.24548053741455
1689053260.0585184,520000,13.46212100982666
1689055419.0092518,530000,15.069940567016602
1689057502.6809223,540000,11.657407760620117
1689059556.6611688,550000,10.5
1689061635.7563245,560000,14.469642639160156
1689063838.3288002,570000,16.0256404876709
1689065882.5784032,580000,12.607330322265625
1689068053.8001683,590000,15.89142894744873
1689070090.0428011,600000,13.552643775939941
1689072179.9596584,610000,11.159876823425293
1689074358.6328015,620000,7.222610950469971
1689076598.0775354,630000,12.719077110290527
1689078816.6492975,640000,18.04305648803711
1689081007.8254817,650000,11.784584999084473
1689083224.9615831,660000,14.725757598876953
1689085579.0885494,670000,12.311904907226562
1689087790.392686,680000,16.586820602416992
1689089955.3268595,690000,11.771768569946289
1689092168.6020741,700000,13.269890785217285
1689094366.486254,710000,5.685184955596924
1689096640.8701508,720000,11.419541358947754
1689098962.9821467,730000,17.331127166748047
1689101197.858856,740000,8.076715469360352
1689103518.9221158,750000,9.930953979492188
1689105759.5361469,760000,16.528484344482422
1689107975.4716613,770000,23.036720275878906
1689110366.877014,780000,5.851851940155029
1689112706.697519,790000,6.862500190734863
1689114936.4339082,800000,16.1231689453125
1689117355.3739934,810000,11.25455379486084
1689119849.9143083,820000,13.045866966247559
1689122091.8541625,830000,8.299315452575684
1689124397.8913126,840000,10.55555534362793
1689126831.101603,850000,9.384326934814453
1689129137.0805378,860000,14.36738395690918
1689131702.351785,870000,16.80555534362793
1689134189.320268,880000,12.813921928405762
1689136697.802538,890000,12.352253913879395
1689139227.6724436,900000,13.903581619262695
1689141624.5002408,910000,13.339764595031738
1689144044.6775928,920000,17.448810577392578
1689146710.4611354,930000,11.0
1689149236.8253272,940000,6.900000095367432
1689151808.282042,950000,10.2703218460083
1689154450.5615344,960000,19.15416717529297
1689156976.498586,970000,11.8125
1689159573.1526732,980000,19.76214027404785
1689162401.3081114,990000,8.656370162963867
