Wall time,Step,Value
1687135563.7191696,0,0.0
1687139257.2597418,10000,152.16506958007812
1687143662.8768167,20000,303.9479064941406
1687147887.1935656,30000,352.9739685058594
1687152220.8100069,40000,323.7328186035156
1687156783.3841393,50000,217.54510498046875
1687160993.8968987,60000,43.60076904296875
1687165641.0605571,70000,32.24571228027344
1687169825.0086303,80000,27.150066375732422
1687174246.872325,90000,25.805397033691406
1687178633.4081478,100000,61.83114242553711
1687183256.8822582,110000,42.17137145996094
1687188124.2356994,120000,36.996822357177734
1687192777.5481126,130000,71.66203308105469
1687197179.336527,140000,34.623077392578125
1687201683.916421,150000,37.028114318847656
1687206433.7665262,160000,50.8639030456543
1687210944.6444068,170000,38.23768615722656
1687215769.643554,180000,47.4697265625
1687220505.513368,190000,36.53108215332031
1687225067.5734959,200000,34.32651901245117
1687229803.8769064,210000,32.88909912109375
1687234267.6235764,220000,48.93318557739258
1687238505.1954846,230000,19.426244735717773
1687243296.4652958,240000,43.92998123168945
1687248084.7126899,250000,33.73572540283203
1687252820.0112488,260000,38.78712844848633
1687257581.3275802,270000,22.863489151000977
1687262188.049435,280000,29.860824584960938
1687266977.5249605,290000,25.36168098449707
1687271656.6668677,300000,53.381534576416016
1687276408.3790162,310000,72.60311126708984
1687281097.8047733,320000,35.7060546875
1687286155.6360853,330000,64.06334686279297
1687291042.30395,340000,45.134796142578125
1687295858.236061,350000,104.07484436035156
1687300841.5927014,360000,72.06492614746094
1687305350.3439388,370000,36.82902908325195
1687310142.0397768,380000,42.07612609863281
1687315524.6643255,390000,66.79464721679688
1687320385.4666674,400000,88.71394348144531
1687325265.7621908,410000,21.975126266479492
1687330384.9370434,420000,60.816951751708984
1687335002.3498695,430000,31.200366973876953
1687340398.6787755,440000,78.62491607666016
1687345488.9860013,450000,31.77335548400879
1687350995.5147314,460000,70.0462646484375
1687356366.2266507,470000,33.146484375
1687361580.4989827,480000,38.17225646972656
1687366889.7319589,490000,27.456560134887695
1687372142.2973704,500000,55.271202087402344
1687377128.6668587,510000,35.815208435058594
1687381867.8534975,520000,24.961000442504883
1687386904.8723073,530000,45.76436996459961
1687391720.1615055,540000,23.672842025756836
1687396519.5375376,550000,26.554792404174805
1687401030.2882478,560000,33.037193298339844
1687405505.7891083,570000,19.68422508239746
1687410245.512779,580000,26.669729232788086
1687414996.4832428,590000,33.93973922729492
1687419547.80525,600000,21.57291603088379
1687424531.6314843,610000,24.296812057495117
1687429515.205114,620000,66.57306671142578
1687434684.6032138,630000,46.53369903564453
1687439525.3817117,640000,34.70524597167969
1687444863.3988628,650000,31.81562042236328
1687449709.6396866,660000,84.87824249267578
1687454796.3212025,670000,39.92205047607422
1687459905.1264093,680000,54.955406188964844
1687465166.8913996,690000,42.570072174072266
1687470364.3652198,700000,34.982154846191406
1687475734.3799973,710000,40.18940734863281
1687480872.2524016,720000,32.06726837158203
1687485884.8872952,730000,49.96799087524414
1687490992.3045022,740000,27.561445236206055
1687496058.6332786,750000,56.16300582885742
1687501543.2193918,760000,82.5052490234375
1687506732.1783013,770000,24.015052795410156
1687512054.1054382,780000,42.99263000488281
1687517466.971612,790000,40.009761810302734
1687522788.6213675,800000,57.19792556762695
1687528318.826143,810000,103.13639831542969
1687534221.3150475,820000,38.355682373046875
1687539800.6634858,830000,35.81943893432617
1687545207.0792882,840000,41.81404495239258
1687551006.405569,850000,77.96956634521484
1687556483.6834462,860000,15.95032787322998
1687561757.3140092,870000,24.391937255859375
1687567500.346668,880000,84.56004333496094
1687574171.253835,890000,91.19819641113281
1687579746.7109091,900000,36.75390625
1687585529.6589386,910000,23.734519958496094
1687591742.4551508,920000,99.77655792236328
1687597164.8788593,930000,34.563438415527344
1687602674.493523,940000,27.820005416870117
1687608637.309596,950000,63.859378814697266
1687614442.499499,960000,46.50090789794922
1687620447.9941328,970000,46.93700408935547
1687626463.322956,980000,44.209842681884766
1687632392.9312027,990000,31.487577438354492
