Wall time,Step,Value
1690251392.7595692,0,0.0
1690256995.638929,10000,197.8030242919922
1690263317.474067,20000,344.749755859375
1690269876.2196999,30000,459.60626220703125
1690276185.0600011,40000,534.9957275390625
1690282121.1369574,50000,565.6806030273438
1690288472.016718,60000,526.2509155273438
1690294755.0896714,70000,499.07720947265625
1690301092.318879,80000,524.6439208984375
1690307639.8836432,90000,527.0949096679688
1690314072.1607976,100000,524.5735473632812
1690320624.3654513,110000,498.23284912109375
1690326909.7092848,120000,533.222900390625
1690333271.3423529,130000,537.306884765625
1690339331.5904408,140000,536.8817749023438
1690345597.0094504,150000,466.0194091796875
1690351786.1868622,160000,399.8744201660156
1690358419.545715,170000,109.1505126953125
1690364751.1565907,180000,26.170541763305664
1690371030.7545385,190000,60.00707244873047
1690377363.8557956,200000,90.46813201904297
1690383634.613053,210000,31.28861427307129
1690389426.145003,220000,31.824325561523438
1690395721.296511,230000,120.8627700805664
1690402228.5797598,240000,28.74198341369629
1690408595.2212164,250000,28.168716430664062
1690414905.6597004,260000,53.31277084350586
1690421471.4310353,270000,37.0618782043457
1690429124.5658588,280000,116.23542022705078
1690436689.6660743,290000,30.2266788482666
1690443365.6550722,300000,27.685163497924805
1690449806.2822258,310000,46.22832489013672
1690455884.8562262,320000,35.70891189575195
1690461866.2600825,330000,32.90434265136719
1690468070.38284,340000,74.93780517578125
1690474355.904358,350000,74.73204040527344
1690480482.6769602,360000,25.142562866210938
1690486374.1957073,370000,43.522850036621094
1690492002.5727844,380000,28.11073112487793
1690498165.5128086,390000,42.907894134521484
1690504440.7324314,400000,64.76152801513672
1690510461.019436,410000,37.80786895751953
1690516813.7029836,420000,97.86769104003906
1690522744.97067,430000,48.36625289916992
1690528888.6230245,440000,47.70833969116211
1690534653.478191,450000,26.589582443237305
1690540734.3269289,460000,34.03334426879883
1690547071.276008,470000,126.21919250488281
1690553490.2265296,480000,41.494789123535156
1690559346.1605113,490000,105.71870422363281
1690565385.4124618,500000,39.140995025634766
1690571560.872112,510000,25.347597122192383
1690578003.778842,520000,118.86202239990234
1690584615.923504,530000,108.82078552246094
1690591153.8532991,540000,260.78985595703125
1690597125.0913517,550000,385.98822021484375
1690603507.7617111,560000,375.685791015625
1690609866.4669693,570000,197.33213806152344
1690616054.74252,580000,103.56260681152344
1690622461.898002,590000,59.85017776489258
1690628345.87654,600000,29.38634490966797
1690635260.8508472,610000,165.65463256835938
1690641502.3174636,620000,43.241886138916016
1690647548.394703,630000,42.001983642578125
1690653602.020682,640000,36.457183837890625
1690659627.5176194,650000,27.37871742248535
1690665719.4336386,660000,51.93221664428711
1690672031.407268,670000,66.69640350341797
1690678076.9958415,680000,53.175048828125
1690684229.4579034,690000,44.07579803466797
1690690792.6484787,700000,58.39253616333008
1690696844.9270163,710000,35.50971984863281
1690703164.9161134,720000,44.240264892578125
1690709608.4033933,730000,93.83670806884766
1690716028.5955172,740000,60.27195358276367
1690722293.883419,750000,51.179168701171875
1690728394.177809,760000,68.85428619384766
1690734495.13688,770000,53.3040771484375
1690740830.3413942,780000,47.157142639160156
1690747092.9829786,790000,53.147464752197266
1690753755.8590908,800000,103.33065032958984
1690760143.8448946,810000,52.54031753540039
1690765785.7028134,820000,35.54819107055664
1690771869.955856,830000,41.38838577270508
1690778536.8377714,840000,50.37761688232422
1690784929.9635248,850000,77.90007019042969
1690790828.1878815,860000,43.320281982421875
1690797041.7347884,870000,76.4061508178711
1690803748.9449532,880000,143.16233825683594
1690810017.5881572,890000,35.41189956665039
1690816183.5740604,900000,59.728919982910156
1690822468.3852887,910000,55.48134994506836
1690828426.9595344,920000,37.009403228759766
1690834072.126296,930000,54.56608581542969
1690840042.0826712,940000,30.396766662597656
1690846250.8810418,950000,38.49303436279297
1690852263.6235607,960000,37.62542724609375
1690858016.5861678,970000,54.77016067504883
1690864061.3330827,980000,37.90220260620117
1690870370.9990683,990000,53.33629608154297
