Wall time,Step,Value
1687859150.2401428,0,0.0
1687874607.0624607,50000,57.56795883178711
1687890496.639078,100000,33.84813690185547
1687906342.4809372,150000,30.65058708190918
1687923309.3194747,200000,36.530426025390625
1687940216.534234,250000,62.279361724853516
1687956911.2677612,300000,31.019054412841797
1687973636.2863238,350000,46.97616195678711
1687989916.3940399,400000,42.31218338012695
1688007139.0191526,450000,58.80482482910156
1688024415.7756715,500000,118.78785705566406
1688041395.7070515,550000,32.379634857177734
1688058947.6719458,600000,24.955364227294922
1688076214.2918575,650000,20.604185104370117
1688094118.6433477,700000,25.452119827270508
1688111914.964325,750000,106.08531188964844
1688129395.053865,800000,57.47882843017578
1688147483.6244786,850000,35.125728607177734
1688165731.5969498,900000,64.50489044189453
1688184386.863154,950000,50.045982360839844
